,FOLDER,IN FILE,MANUAL ID,OFFSET,DURATION,CLIP LENGTH,CHANNEL,SAMPLE RATE
1918,AM16_samples_split,20190613_011000.WAV,bird,0.0,3.0,60.0,0,44100
2131,AM16_samples_split,20190613_011000.WAV,bird,3.0,3.0,60.0,0,44100
1953,AM16_samples_split,20190613_011000.WAV,bird,30.0,3.0,60.0,0,44100
1957,AM16_samples_split,20190613_011000.WAV,bird,33.0,3.0,60.0,0,44100
1934,AM16_samples_split,20190613_011000.WAV,bird,36.0,3.0,60.0,0,44100
2028,AM16_samples_split,20190613_011000.WAV,bird,39.0,3.0,60.0,0,44100
2008,AM16_samples_split,20190613_011000.WAV,bird,42.0,3.0,60.0,0,44100
2088,AM16_samples_split,20190613_011000.WAV,bird,45.0,3.0,60.0,0,44100
2149,AM16_samples_split,20190613_011000.WAV,bird,51.0,3.0,60.0,0,44100
1974,AM16_samples_split,20190613_011000.WAV,bird,54.0,3.0,60.0,0,44100
2084,AM16_samples_split,20190613_011000.WAV,bird,57.0,3.0,60.0,0,44100
2052,AM16_samples_split,20190613_011000.WAV,bird,6.0,3.0,60.0,0,44100
2224,AM16_samples_split,20190613_011000.WAV,bird,9.0,3.0,60.0,0,44100
2021,AM16_samples_split,20190613_011000.WAV,bird,15.0,3.0,60.0,0,44100
2151,AM16_samples_split,20190613_011000.WAV,bird,18.0,3.0,60.0,0,44100
2207,AM16_samples_split,20190613_011000.WAV,bird,21.0,3.0,60.0,0,44100
2233,AM16_samples_split,20190613_011000.WAV,bird,24.0,3.0,60.0,0,44100
1808,AM16_samples_split,20190613_011000.WAV,bird,27.0,3.0,60.0,0,44100
1955,AM16_samples_split,20190613_141000.WAV,bird,0.0,3.0,60.0,0,44100
2005,AM16_samples_split,20190613_141000.WAV,bird,30.0,3.0,60.0,0,44100
1914,AM16_samples_split,20190613_141000.WAV,bird,33.0,3.0,60.0,0,44100
2117,AM16_samples_split,20190613_141000.WAV,bird,36.0,3.0,60.0,0,44100
1870,AM16_samples_split,20190613_141000.WAV,bird,39.0,3.0,60.0,0,44100
2110,AM16_samples_split,20190613_141000.WAV,bird,45.0,3.0,60.0,0,44100
2201,AM16_samples_split,20190613_141000.WAV,bird,48.0,3.0,60.0,0,44100
1803,AM16_samples_split,20190613_141000.WAV,bird,51.0,3.0,60.0,0,44100
2015,AM16_samples_split,20190613_141000.WAV,bird,54.0,3.0,60.0,0,44100
2054,AM16_samples_split,20190613_141000.WAV,bird,57.0,3.0,60.0,0,44100
1842,AM16_samples_split,20190613_141000.WAV,bird,6.0,3.0,60.0,0,44100
1978,AM16_samples_split,20190613_141000.WAV,bird,9.0,3.0,60.0,0,44100
1902,AM16_samples_split,20190613_141000.WAV,bird,12.0,3.0,60.0,0,44100
2153,AM16_samples_split,20190613_141000.WAV,bird,15.0,3.0,60.0,0,44100
2080,AM16_samples_split,20190613_141000.WAV,bird,18.0,3.0,60.0,0,44100
2155,AM16_samples_split,20190613_141000.WAV,bird,21.0,3.0,60.0,0,44100
2179,AM16_samples_split,20190613_141000.WAV,bird,24.0,3.0,60.0,0,44100
2121,AM16_samples_split,20190613_141000.WAV,bird,27.0,3.0,60.0,0,44100
1950,AM16_samples_split,20190616_100000.WAV,bird,0.0,3.0,60.0,0,44100
1958,AM16_samples_split,20190616_100000.WAV,bird,3.0,3.0,60.0,0,44100
1966,AM16_samples_split,20190616_100000.WAV,bird,30.0,3.0,60.0,0,44100
