,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,FOLDER,IN FILE,CLIP LENGTH,CHANNEL,OFFSET,DURATION,SAMPLE RATE,MANUAL ID
0,0,0,0,0,./TEST/,ScreamingPiha1.wav,32.616,0,1.5448,2.1297,16000,bird
1,1,1,1,1,./TEST/,ScreamingPiha1.wav,32.616,0,10.1638,0.8498,16000,bird
2,2,2,2,2,./TEST/,ScreamingPiha1.wav,32.616,0,0.5549,0.9999,16000,bird
3,3,3,3,3,./TEST/,ScreamingPiha1.wav,32.616,0,8.7739,0.8399,16000,bird
4,4,4,4,4,./TEST/,ScreamingPiha1.wav,32.616,0,12.6335,1.9997,16000,bird
5,5,5,5,5,./TEST/,ScreamingPiha1.wav,32.616,0,11.2436,1.4198,16000,bird
6,6,6,6,6,./TEST/,ScreamingPiha1.wav,32.616,0,21.0024,0.57,16000,bird
7,7,7,7,7,./TEST/,ScreamingPiha1.wav,32.616,0,22.1623,0.8099,16000,bird
8,8,8,8,8,./TEST/,ScreamingPiha1.wav,32.616,0,24.262,0.6899,16000,bird
9,9,9,9,9,./TEST/,ScreamingPiha1.wav,32.616,0,29.5814,0.6999,16000,bird
10,10,10,10,10,./TEST/,ScreamingPiha1.wav,32.616,0,27.6316,0.6699,16000,bird
11,11,11,11,11,./TEST/,ScreamingPiha1.wav,32.616,0,28.7315,0.8399,16000,bird
12,12,12,12,12,./TEST/,ScreamingPiha1.wav,32.616,0,30.2213,1.8698,16000,bird
13,13,13,13,13,./TEST/,ScreamingPiha3.wav,6.84408,0,1.6094,0.4741,22050,bird
14,14,14,14,14,./TEST/,ScreamingPiha3.wav,6.84408,0,1.2209,0.2495,22050,bird
15,15,15,15,15,./TEST/,ScreamingPiha3.wav,6.84408,0,2.1441,0.2959,22050,bird
16,16,16,16,16,./TEST/,ScreamingPiha3.wav,6.84408,0,3.2991,0.7984,22050,bird
17,17,17,17,17,./TEST/,ScreamingPiha3.wav,6.84408,0,2.4471,0.8056,22050,bird
18,18,18,18,18,./TEST/,ScreamingPiha3.wav,6.84408,0,4.094,1.8357,22050,bird
19,19,19,19,19,./TEST/,ScreamingPiha4.wav,13.5576,0,4.897,0.1906,44100,bird
20,20,20,20,20,./TEST/,ScreamingPiha4.wav,13.5576,0,2.6303,0.4378,44100,bird
21,21,21,21,21,./TEST/,ScreamingPiha4.wav,13.5576,0,3.2446,1.6453,44100,bird
22,22,22,22,22,./TEST/,ScreamingPiha4.wav,13.5576,0,5.1159,0.2259,44100,bird
23,23,23,23,23,./TEST/,ScreamingPiha4.wav,13.5576,0,5.589,0.2047,44100,bird
24,24,24,24,24,./TEST/,ScreamingPiha4.wav,13.5576,0,7.8839,0.2824,44100,bird
25,25,25,25,25,./TEST/,ScreamingPiha4.wav,13.5576,0,9.4938,1.8712,44100,bird
26,26,26,26,26,./TEST/,ScreamingPiha4.wav,13.5576,0,8.9077,0.5437,44100,bird
27,27,27,27,27,./TEST/,ScreamingPiha5.wav,54.178,0,0.565,0.8199,44100,bird
28,28,28,28,28,./TEST/,ScreamingPiha5.wav,54.178,0,2.4249,1.7699,44100,bird
29,29,29,29,29,./TEST/,ScreamingPiha5.wav,54.178,0,4.2048,0.68,44100,bird
30,30,30,30,30,./TEST/,ScreamingPiha5.wav,54.178,0,5.3348,0.81,44100,bird
31,31,31,31,31,./TEST/,ScreamingPiha5.wav,54.178,0,7.8647,0.73,44100,bird
32,32,32,32,32,./TEST/,ScreamingPiha5.wav,54.178,0,6.9247,0.66,44100,bird
33,33,33,33,33,./TEST/,ScreamingPiha5.wav,54.178,0,8.5947,3.1199,44100,bird
34,34,34,34,34,./TEST/,ScreamingPiha5.wav,54.178,0,13.4645,0.58,44100,bird
35,35,35,35,35,./TEST/,ScreamingPiha5.wav,54.178,0,14.2745,0.7699,44100,bird
36,36,36,36,36,./TEST/,ScreamingPiha5.wav,54.178,0,15.6844,0.75,44100,bird
37,37,37,37,37,./TEST/,ScreamingPiha5.wav,54.178,0,16.6644,0.7299,44100,bird
38,38,38,38,38,./TEST/,ScreamingPiha5.wav,54.178,0,17.3643,2.38,44100,bird
39,39,39,39,39,./TEST/,ScreamingPiha5.wav,54.178,0,22.9041,2.03,44100,bird
40,40,40,40,40,./TEST/,ScreamingPiha5.wav,54.178,0,25.954,0.9,44100,bird
41,41,41,41,41,./TEST/,ScreamingPiha5.wav,54.178,0,24.8941,0.6999,44100,bird
42,42,42,42,42,./TEST/,ScreamingPiha5.wav,54.178,0,27.854,0.9699,44100,bird
43,43,43,43,43,./TEST/,ScreamingPiha5.wav,54.178,0,28.9439,1.15,44100,bird
44,44,44,44,44,./TEST/,ScreamingPiha5.wav,54.178,0,31.2338,2.3999,44100,bird
45,45,45,45,45,./TEST/,ScreamingPiha5.wav,54.178,0,30.4239,0.8399,44100,bird
