,MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1,COUNT
0,Aburria aburri,17.61929705,0.5819954649,0.3573922902,0.9801,0.968,0.974,9
1,Accipiter bicolor,3.920907029,0.6495238095,0.07909297052,0.9802,0.8579,0.915,1
2,Accipiter collaris,12.07229025,0.4388662132,0.6021768707,0.9525,0.9649,0.9587,14
3,Accipiter poliogaster,20.80727891,1.131632653,2.293560091,0.9007,0.9484,0.924,19
4,Accipiter striatus,3.955102041,0.4354875283,0.04489795918,0.9888,0.9008,0.9427,1
5,Accipiter superciliosus,77.31077098,1.01399093,2.038163265,0.9743,0.9871,0.9806,34
6,Actitis macularius,18.12696145,1.834535147,6.438843537,0.7379,0.9081,0.8142,40
7,Adelomyia melanogenys,28.13603175,2.905827664,15.4721542,0.6452,0.9064,0.7538,43
8,Aeronautes montivagus,86.78095238,6.689455782,5.918798186,0.9362,0.9284,0.9323,37
9,Agamia agami,14.73061224,2.240408163,19.88390023,0.4256,0.868,0.5711,49
10,Agelasticus cyanopus,1.987324263,0.01267573696,1.024716553,0.6598,0.9937,0.793,2
11,Agelasticus xanthophthalmus,7.969569161,0.6049206349,8.425827664,0.4861,0.9295,0.6383,25
12,Aglaeactis cupripennis,3.323333333,0.2380725624,0.4441269841,0.8821,0.9332,0.9069,9
13,Aglaiocercus kingii,11.21131519,0.8994104308,6.263356009,0.6416,0.9257,0.7579,35
14,Akletos goeldii,26.44619048,2.332063492,13.34244898,0.6647,0.919,0.7714,51
15,Akletos melanoceps,80.56238095,10.63301587,12.80965986,0.8628,0.8834,0.873,67
16,Alopochelidon fucata,8.976417234,0.6425623583,0.4189795918,0.9554,0.9332,0.9442,138
17,Amaurolimnas concolor,50.94487528,6.251043084,3.225986395,0.9404,0.8907,0.9149,29
18,Amazilia chionogaster,15.21367347,2.554852608,19.378322,0.4398,0.8562,0.5811,35
19,Amazilia viridicauda,8.54569161,4.45600907,2.012517007,0.8094,0.6573,0.7254,55
20,Amazona aestiva,25.74226757,1.987278912,2.219410431,0.9206,0.9283,0.9245,65
21,Amazona amazonica,33.76244898,4.730929705,7.073696145,0.8268,0.8771,0.8512,29
22,Amazona farinosa,7.982517007,1.028276644,3.598888889,0.6893,0.8859,0.7753,24
23,Amazona mercenarius,23.66814059,4.566507937,8.117301587,0.7446,0.8383,0.7887,63
