,MANUAL ID,TRUE POSITIVE,FALSE NEGATIVE,FALSE POSITIVE,PRECISION,RECALL,F1
0,Aburria aburri,17.619297052154195,0.5819954648526078,0.3573922902494331,0.9801,0.968,0.974
1,Accipiter bicolor,3.920907029478458,0.6495238095238095,0.07909297052154195,0.9802,0.8579,0.915
2,Accipiter collaris,12.072290249433106,0.4388662131519274,0.6021768707482993,0.9525,0.9649,0.9587
3,Accipiter poliogaster,20.807278911564627,1.1316326530612246,2.2935600907029476,0.9007,0.9484,0.924
4,Accipiter striatus,3.9551020408163264,0.4354875283446712,0.044897959183673466,0.9888,0.9008,0.9427
5,Accipiter superciliosus,77.3107709750567,1.0139909297052154,2.0381632653061224,0.9743,0.9871,0.9806
6,Actitis macularius,18.12696145124717,1.8345351473922902,6.438843537414966,0.7379,0.9081,0.8142
7,Adelomyia melanogenys,28.136031746031748,2.905827664399093,15.472154195011338,0.6452,0.9064,0.7538
8,Aeronautes montivagus,86.78095238095237,6.689455782312926,5.918798185941044,0.9362,0.9284,0.9323
9,Agamia agami,14.730612244897959,2.240408163265306,19.88390022675737,0.4256,0.868,0.5711
10,Agelasticus cyanopus,1.9873242630385488,0.012675736961451247,1.0247165532879818,0.6598,0.9937,0.793
11,Agelasticus xanthophthalmus,7.969569160997732,0.604920634920635,8.425827664399094,0.4861,0.9295,0.6383
12,Aglaeactis cupripennis,3.3233333333333333,0.23807256235827665,0.44412698412698415,0.8821,0.9332,0.9069
13,Aglaiocercus kingii,11.211315192743765,0.8994104308390023,6.263356009070295,0.6416,0.9257,0.7579
14,Akletos goeldii,26.446190476190473,2.332063492063492,13.342448979591836,0.6647,0.919,0.7714
15,Akletos melanoceps,80.56238095238095,10.633015873015875,12.809659863945578,0.8628,0.8834,0.873
16,Alopochelidon fucata,8.97641723356009,0.642562358276644,0.4189795918367347,0.9554,0.9332,0.9442
17,Amaurolimnas concolor,50.94487528344671,6.251043083900227,3.2259863945578235,0.9404,0.8907,0.9149
18,Amazilia chionogaster,15.213673469387755,2.5548526077097504,19.37832199546485,0.4398,0.8562,0.5811
